x1,y1,x2,y2,x3,y3
191,772,215,780,187,777
191,772,217,770,215,780
205,113,187,777,209,619
205,113,223,106,234,132
205,113,230,429,209,619
205,692,191,772,187,777
205,692,207,647,187,777
207,647,187,777,209,619
207,647,214,632,209,619
208,102,205,113,223,106
208,102,265,73,223,106
208,102,265,73,294,47
209,733,205,692,191,772
209,733,212,741,191,772
209,733,212,741,225,729
211,809,206,802,187,777
211,809,206,802,221,797
211,809,394,810,221,797
211,809,394,810,406,819
214,605,221,546,209,619
214,605,236,628,209,619
214,605,236,628,240,623
214,605,252,607,240,623
215,746,191,772,217,770
215,746,212,741,191,772
215,746,212,741,225,729
215,746,238,738,225,729
215,746,238,738,245,749
215,746,238,766,217,770
215,746,238,766,245,749
215,780,206,802,187,777
215,780,206,802,221,797
219,660,232,636,207,647
219,660,232,636,236,643
219,660,234,669,237,658
219,660,236,643,237,658
219,678,205,692,207,647
219,678,219,660,207,647
219,678,219,660,234,669
219,678,248,699,234,669
220,586,214,605,221,546
220,586,214,605,252,607
220,586,221,546,222,583
220,586,252,607,222,583
221,546,230,429,209,619
221,546,230,429,233,452
221,546,235,479,232,525
221,546,235,479,233,452
221,546,251,576,222,583
223,106,246,126,234,132
223,106,246,126,249,99
223,711,209,733,205,692
223,711,209,733,225,729
223,711,219,678,205,692
223,711,219,678,248,699
223,711,229,725,225,729
223,711,229,725,246,715
223,711,248,699,246,715
232,142,205,113,233,162
232,142,205,113,234,132
232,142,243,143,233,162
232,142,243,143,234,132
232,636,207,647,214,632
232,636,235,631,214,632
232,636,235,631,236,643
235,479,249,467,233,452
236,628,214,632,209,619
236,628,235,631,214,632
236,628,235,631,240,623
238,738,229,725,225,729
238,738,229,725,246,715
238,738,247,744,245,749
238,766,215,780,221,797
238,766,217,770,215,780
238,766,281,764,221,797
239,388,205,113,230,429
239,388,205,113,233,162
239,388,230,429,246,416
239,388,258,385,246,416
239,388,262,379,258,385
239,388,265,303,233,162
239,388,265,303,268,316
239,388,274,336,262,379
239,388,274,336,268,316
239,429,230,429,233,452
239,429,230,429,246,416
243,143,233,162,276,151
